ID,Type,Sujet,Background,Texte,Texte_Supp,Choix_insecables,Cout_Elec_Env_Popu,Trigger_next
Q3-2,MultiSelection,Périodes de pointe,pylone,Quels clients ciblez-vous pour augmenter les tarifs lors de grands froids? Vous pouvez en sélectionner plusieurs.,,"Les ménages dans une maison de plus d'un&nbsp;étage:
Les ménages qui gagnent plus de 120&nbsp;000&nbsp;$:
Tous les clients industriels","2_2_1_-2;
2_2_1_-1;
2_2_2_-1;","Q3-2-1;
Q3-2-1;
Q3-2-2_Q3-2-3"
Q3-2-1,texteBoutonSimple,Périodes de pointe,pylone,"La Régie de l’énergie approuve votre demande et augmente le prix de l'électricité pour ces clients. Votre budget augmente de 8&nbsp;jetons, mais des citoyens se mobilisent pour contester cette décision et votre leadership. ",,,,Q4
Q3-2-2,texteBoutonSimple,Périodes de pointe,pylone,"C'était également <a href=""https://www.ledevoir.com/economie/698388/energie-hydro-plaide-la-necessite-de-hausser-ses-tarifs-industriels-pour-eviter-un-trou-financier"" target=""_blank"">la position de votre prédecesseure</a>, mais les entreprises de centres de données sont mécontentes de votre choix. Une majorité de celles qui devaient s'établir au Québec se tournent finalement vers l'Ontario.",,,,Q4
Q3-2-3,texteBoutonSimple,Périodes de pointe,pylone,Les critiques à l'endroit d'Hydro-Québec fusent devant des hausses de prix si importantes. Attention à ne pas perdre trop de popularité au cours de vos prochaines décisions ou elles pourraient vous coûter votre poste.,,,,Q4
Q3-3,texteBoutonSimple,Thermopompes,pylone,"Les thermopompes, qui servent de climatiseur ou d'appareil de chauffage en déplaçant l'air chaud vers l'intérieur ou l'extérieur, cessent de fonctionner lorsque les températures sont trop basses (de -15 à -25°C, selon les modèles). Elles ne sont donc pas une solution au manque de puissance lors de grands froids.",,,,Q4
Q4,ChoixReponse,Question 4 / 8,pylone,Un million de ménages ont été privés de courant en avril&nbsp;2023 après une tempête de verglas. Des citoyens et des experts réclament l'enfouissement des fils électriques. Que faites-vous?,,"Enfouir toutes les lignes électriques:
Dégager la végétation près des&nbsp;lignes","-20_0_0_2;
-1_0_0_0;",Q4-1
Q4-1,texteBoutonSimple,Enfouissement des fils,pylone,"Une maigre proportion des fils électriques sont enfouis au Québec. Même si le gouvernement juge que le projet d'enfouir la totalité d'entre eux serait trop coûteux, des experts rétorquent qu'il serait pertinent de le faire <a href=""https://www.ledevoir.com/societe/788412/l-enfouissement-des-fils-electriques-au-dela-des-couts"" target=""_blank"">de façon graduelle</a>. ",,,,B1
B1,Bilan,"2028&nbsp;<span style=""color:#336196""> Bilan du 1<sup>er</sup>&nbsp;mandat</span>",pylone,"Depuis votre arrivée à la tête d'Hydro-Québec, il y a cinq ans, les besoins en énergie ont augmenté de 10 TWh dans la province. Grâce aux investissements faits pendant votre premier mandat, la capacité annuelle de production d’Hydro-Québec a <b>*augmentediminue* de *newProd*</b>, une quantité *suffisanteinsuffisante* pour répondre aux besoins immédiats de la population.","barrage:Puisque le barrage hydroélectrique est toujours en construction, il n'est pas comptabilisé dans votre bilan énergétique. Dans sept ans, il ajoutera 9 TWh au portefeuille énergétique du Québec.;
jetons15:Attention à ne pas dépenser tout le budget d’Hydro-Québec… la facture (salée) devrait être répercutée sur les citoyens.;
environnement0:L’Assemblée nationale adopte une motion à l’unanimité pour vous demander de recentrer le mandat d’Hydro-Québec autour de l’atteinte de la carboneutralité en 2050.;
popularite0:Un sondage révèle que les décisions d’Hydro-Québec sont hautement impopulaires auprès de la population. Le premier ministre vous rappelle que la satisfaction de votre clientèle devrait figurer dans le haut de votre liste de priorités. ",,,Q5
Q5,ChoixReponse,Question 5 / 8,ampoule,"Les experts prédisent qu’au cours des cinq prochaines années, la demande augmentera encore de 15&nbsp;TWh. Souhaitez-vous...",,"Augmenter la production d'électricité:
Diminuer la consommation:
Les deux","0_0_0_0;
0_0_0_0;
0_0_0_0","Q5-1;
Q5-3;
Q5-2;"
Q5-1,Repartition,Question 5 / 8,ampoule,Quels projets additionnels souhaitez-vous financer?,,"Barrage hydroélectrique:
Parcs éoliens:
Centrale nucléaire:
Centrales solaires","-13_9_0_-1;
-6_4_1_0;
-8_6_-5_-5;
-2_1_1_1;",Q6
Q5-2,Repartition,Question 5 / 8,ampoule,Quels projets additionnels souhaitez-vous financer?,,"Barrages hydroélectriques:
Parcs éoliens:
Centrale nucléaire:
Centrales solaires","-13_9_0_-1;
-6_4_1_0;
-8_6_-5_-5;
-2_1_1_1;",Q5-3
Q5-3,MultiSelection,Question 5 / 8,ampoule,Comment comptez-vous parvenir à réduire davantage la consommation d'électricité au Québec?,,"Augmenter le prix pour tous les&nbsp;clients:
Forcer les grandes industries à réduire leur consommation de&nbsp;moité:
Subventionner l'achat de panneaux solaires par les&nbsp;ménages","4_7_2_-2;
0_4_2_-2;
-5_4_2_2;",Q6
Q6,ChoixReponse,Question 6 / 8,ampoule,"Le Québec consomme 28&nbsp;TWh d'énergie provenant de la centrale de Churchill Falls, dont le contrat <a href=""https://www.ledevoir.com/politique/quebec/782718/legault-evoque-des-montants-qui-pourraient-etre-verses-a-terre-neuve-avant-2041"" target=""_blank"">prend fin en&nbsp;2041</a>. Terre-Neuve-et-Labrador propose à Québec de le renouveler immédiatement pour 16&nbsp;jetons. Le gouvernement devrait-il accepter?",,"Oui:
Non","-16_0_0_1;
0_0_0_-2;","Q6-1;
Q6-2"
Q6-1,texteBoutonSimple,Churchill Falls,ampoule,"Depuis la signature de l'entente, en 1969, Hydro-Québec achète l’électricité produite à Churchill Falls à 0,2¢ le&nbsp;kWh, puis <a href=""https://www.ledevoir.com/politique/782246/analyse-la-conscience-tranquille-francois-legault-s-en-va-a-terre-neuve-et-labrador"" target=""_blank"">la revend à fort prix sur les marchés extérieurs</a> (8,2¢ le&nbsp;kWh en 2022). Son renouvelement assure au Québec d'avoir une source continue d'énergie alors que la province poursuit ses efforts de décarbonation.",,,,Cata1
Q6-2,texteBoutonSimple,Churchill Falls,ampoule,"Depuis la signature de l'entente, en 1969, Hydro-Québec achète l’électricité produite à Churchill Falls à 0,2¢ le&nbsp;kWh, puis <a href=""https://www.ledevoir.com/politique/782246/analyse-la-conscience-tranquille-francois-legault-s-en-va-a-terre-neuve-et-labrador"" target=""_blank"">la revend à fort prix sur les marchés extérieurs</a> (8,2¢ le&nbsp;kWh en 2022). La fin de ce contrat entraîne de l'incertitude pour l'avenir énergétique de la province, qui doit maintenant s'assurer de redoubler d'ardeur dans sa production.",,,,Cata1
Cata1,Catastrophe,Catastrophe,redpink,"Un ouragan balaie les provinces de l’Atlantique. Le Québec évite le pire, mais de forts vents secouent tout de même les régions de l’Est. ",,"Puisque vous n’avez pas investi pour moderniser le réseau actuel, vous devez réparer plusieurs lignes de distribution et rémunérer des centaines de travailleurs en heures supplémentaire. Cette opération vous coûte <b>8&nbsp;jetons</b>.:
Puisque vous avez investi pour moderniser le réseau actuel, la population de la région évite le pire. La population locale vous en est reconnaissante.","-8_0_0_-1;
0_0_0_1;",Q7
Q7,ChoixReponse,Question 7 / 8,ampoule,"Maintenant que la demande d'électricité frôle la production du Québec, la question de la vente de 20&nbsp;TWh d'électricité aux États-Unis est sur toutes les lèvres. Est-ce qu’Hydro-Québec va…",,"Renouveler ses contrats pour 20&nbsp;ans:
Cesser d’exporter son hydroélectricité","12_0_0_0;
0_20_0_0;","Q7-1;
Q7-2"
Q7-1,texteBoutonSimple,Ententes d'exportation,ampoule,"En renouvelant ces contrats d'exportation, vous assurez un revenu continu, basé sur les prix du marché, à Hydro-Québec. N'oubliez pas toutefois que la province a elle-même des besoins grandissants en électricité.",,,,Q8
Q7-2,texteBoutonSimple,Ententes d'exportation,ampoule,"En mettant fin à ces contrats, Hydro-Québec augmente de plus de 10% sa quantité d'énergie disponible pour ses clients. Cette décision coupe toutefois la société d'État d'une de ses sources de revenus les plus importantes.",,,,Q8
Q8,ChoixReponse,Question 8 / 8,ampoule,"Les éoliennes et les panneaux solaires produisent de l'énergie par intermittence, soit seulement lorsqu'il vente ou qu'il fait soleil. Souhaitez-vous qu'Hydro-Québec se lance dans la filiale des batteries <a href=""https://www.ledevoir.com/environnement/784530/des-batteries-aux-molecules-synthetiques-pour-assurer-la-transition-energetique"" target=""_blank"">pour stocker des surplus</a>? ",,"Oui:
Non","-5_3_2_1;
0_0_0_0;",B2
B2,Bilan,"2033&nbsp;<span style=""color:#336196"">Bilan des deux&nbsp;mandats</span>",ampoule,Fin du jeu,"TWh >= 25 TWh & environnement > 0 :<b>Félicitations!</b><br>Vous avez réussi à équilibrer la production (qui a *augmentediminue* de *newProd*) et la demande d'électricité tout en respectant les objectifs climatiques du Québec.;
TWh < 25 TWh & environnement > 0 :Vous n'avez pas réussi à équilibrer la production (qui a *augmentediminue* de *newProd*) et la demande d'électricité, qui est 25 TWh plus élevée qu'il y a dix ans. En restant sur cette trajectoire, la province n'aura d'autre choix que de faire appel à des énergies fossiles pour combler les besoins de la population. Cette solution de dernier recours pourrait remettre en cause l'atteinte de la carboneutralité en 2050.;
TWh >= 25 TWh & environnement <= 0 :Vous avez réussi à équilibrer la production (qui a *augmentediminue* de *newProd*) et la demande d'électricité, mais à cause de vos décisions, le Québec ne réussira pas à atteindre son objectif de carboneutralité en 2050.;
TWh < 25 TWh & environnement <= 0 :Vous n'avez pas réussi à équilibrer la production (qui a *augmentediminue* de *newProd*) et la demande d'électricité, qui est 25 TWh plus élevée qu'il y a dix ans. Vous avez également ralenti la trajectoire du Québec vers la carboneutralité.;
Jetons > 0 :Grâce à une saine gestion des finances de la société d'État, vous permettez à votre successeur de faire face à la prochaine catastrophe sans faire vaciller Hydro-Québec vers l'endettement.;
Jetons <= 0 :Vos deux mandats se terminent avec des coffres plutôt vides ce qui inquiète votre successeur, qui ne pourrait pas faire face à une autre catastrophe en évitant l'endettement.;
Popularité >= 4 :Vous laissez d'ailleurs une société d'État au sommet de sa popularité.;
Popularité entre -2 et 4 :La popularité de la société d'État reste inchangée par rapport au jour où vous en avez assuré le leadership.;
Popularité <= -2 :La société d'État a d'ailleurs très mauvaise presse depuis que vous en avez pris les rennes.",,,Creds
Creds,texteBoutonSimple,Crédits,centrale,Structure et textes par Laurianne Croteau. Direction artistique par Cédric Gagnon. Développement par Antoine Noreau et Catherine Bombardier.,,,,STARTOVER
